"ds_owner","hemisphere","id","gender","age_group","handedness","education","color_blindness","hours_sleep","art_light_r_w","light_dir_r_s","photo_training","carto_gis_training","geovis_3d_training","satellite_training","photo_exposure","carto_gis_exposure","geovis_3d_exposure","satellite_exposure","mask","circle_below","circle_above","shapes_01","shapes_02","shapes_03","shapes_04","shapes_05","shapes_06","shapes_07","shapes_08","shapes_09","shapes_10","q10_r000_0","q10_r000_270","q10_r000_292_5","q10_r000_315","q10_r000_337_5","q20_r045_0","q20_r045_270","q20_r045_292_5","q20_r045_315","q20_r045_337_5","q30_r090_0","q30_r090_270","q30_r090_292_5","q30_r090_315","q30_r090_337_5","q40_r135_0","q40_r135_270","q40_r135_292_5","q40_r135_315","q40_r135_337_5","q50_v000_0","q50_v000_270","q50_v000_292_5","q50_v000_315","q50_v000_337_5","q60_v045_0","q60_v045_270","q60_v045_292_5","q60_v045_315","q60_v045_337_5","q70_v090_0","q70_v090_270","q70_v090_292_5","q70_v090_315","q70_v090_337_5","q80_v135_0","q80_v135_270","q80_v135_292_5","q80_v135_315","q80_v135_337_5"
"v","southern",76,"f","20-29","r","bachelor","no","7-8","overhead","k",1,4,1,1,"never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,5,5,5,5,5,5,5,4,2,5,5,5,5,1,5,4,5,1,5,4,1,1,1,1,1,1,1,1,4,1,1,1,1,5,5,1,1
"v","southern",77,"m","20-29","r","bachelor","no","6-7","desktop","f,g,j",5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,3,1,1,1,2,1,1,3,2,1,1,2,1,1,3,3,2,5,4,3,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
"v","southern",78,"f","20-29","r","bachelor","no","5-6","overhead","b,j,m",3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,4,5,5,5,5,5,5,3,5,5,5,4,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,2,2
"v","southern",79,"m","20-29","r","bachelor","no","7-8","desktop","c,h,i,k,l,m",5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1
"v","southern",80,"m","20-29","b","bachelor","no","5-6","overhead","c,j",2,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,4,4,5,4,4,3,5,3,3,3,4,1,4,1,3,2,1,3,4,4,2,2,4,5,4,5,4,1,1,2,1,1,3,4,3,3,3
"v","southern",81,"f","20-29","r","bachelor","no","more_than_8","overhead","c,e,g",4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"v","southern",82,"f","20-29","r","bachelor","no","6-7","overhead","e,g",4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,1
"v","southern",83,"f","20-29","r","bachelor","no","5-6","desktop","c,d,e,g,h,j",4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,2,5,1,4,4,4,4,2,4,4,5,5,2,2,4,4,3,5,4,2,2,3,5,3,3,3,2,2,5,1,2,1,5,2,1,1
"v","southern",84,"f","20-29","r","bachelor","no","6-7","overhead","c,j,l",4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,2,5,4,5,5,5,5,3,5,5,5,5,1,5,5,5,4,1,1,1,2,1,5,5,1,1,2,5,1,1,1,1,5,1,5,1
"v","southern",85,"m","20-29","r","bachelor","no","6-7","overhead","c",1,1,1,1,NA,NA,"never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,1,4,5,1,1,5,4,5,2,1,5,5,5,2,5,4,5,1,4,5,1,1,1,4,2,2,1,1,4,2,5,2,1,5,4,2,1
